stt,logo_name,company_name,location,field,people,country,working_day,time
1,logo-1.png,Nimble,"Ho Chi Minh, Da Nang",Outsourcing,51-150,Thailand,Monday - Friday,No OT
2,logo-2.png,Easy IT Solutions,"District 3, Ho Chi Minh",Outsourcing,51-150,Vietnam,Monday - Friday,No OT
3,logo-3.png,Vietnam International Bank (VIB),"Ha Noi, Ho Chi Minh",Product,1000+,Vietnam,Monday - Friday,none
4,logo-4.png,Robert Bosch Engineering And Business Solutions,"Ho Chi Minh, Ha Noi",Product,18264,Germany,Monday - Friday,No OT
5,logo-5.png,Shopee,"Others, Ho Chi Minh",Product,1000+,Singapore,Monday - Friday,No OT
6,logo-6.png,Codix,"Tan Binh, Ho Chi Minh",Product,51-150,France,Monday - Friday,Extra salary for OT
7,logo-7.png,Yojee,"District 4, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,No OT
8,logo-8.png,Wonderlabs,"Ho Chi Minh, Da Nang",Outsourcing,18264,Singapore,Monday - Friday,No OT
9,logo-9.png,QUOINE,"District 1, Ho Chi Minh",Product,51-150,Japan,Monday - Friday,No OT
10,logo-10.png,FOURDIGIT VIETNAM,"District 2, Ho Chi Minh",Product,18264,Japan,Monday - Friday,No OT
11,logo-11.png,ATM Online,"Binh Thanh, Ho Chi Minh",Product,151-300,Vietnam,Monday - Friday,No OT
12,logo-12.png,Be Group,"Ha Noi, Ho Chi Minh",Product,301-500,Vietnam,Monday - Friday,Extra salary for OT
13,logo-13.png,Tyme,"Ho Chi Minh, Ha Noi",Product,151-300,Vietnam,Monday - Friday,No OT
14,logo-14.png,DEK Technologies,"District 1, Ho Chi Minh",Outsourcing,301-500,Australia,Monday - Friday,No OT
15,logo-15.png,Forix,"Phu Nhuan, Ho Chi Minh",Outsourcing,51-150,United States,Monday - Friday,Extra salary for OT
16,logo-16.png,VINX VIETNAM,"Tan Binh, Ho Chi Minh",Outsourcing,18264,Japan,Monday - Friday,No OT
17,logo-17.png,Avenue,"Ho Chi Minh, Ha Noi",Product,51-150,Vietnam,Monday - Friday,Extra salary for OT
18,logo-18.png,FireGroup,"Ho Chi Minh, Da Nang",Product,151-300,Vietnam,Monday - Friday,No OT
19,logo-19.png,NAB in collaboration with Positive Thinking Company in Vietnam,Ho Chi Minh,Product,501-1000,Australia,Monday - Friday,No OT
20,logo-20.png,Saigon Freelancer,"Go Vap, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,Extra salary for OT
21,logo-21.png,Saigon Technology Solutions,"Ho Chi Minh, Da Nang",Outsourcing,151-300,Vietnam,Monday - Friday,Extra salary for OT
22,logo-22.png,Công Ty Cổ Phần Sundata,"Thu Duc City, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
23,logo-23.png,NAVER VIETNAM,"District 1, Ho Chi Minh",Product,1000+,Vietnam,Monday - Friday,Extra salary for OT
24,logo-24.png,Tenpoint7,"District 1, Ho Chi Minh",Product,18264,United States,Monday - Friday,No OT
25,logo-25.png,Grab (Vietnam) Ltd.,"District 7, Ho Chi Minh",Product,501-1000,Singapore,Monday - Friday,No OT
26,logo-26.png,bbv Vietnam,"District 12, Ho Chi Minh",Outsourcing,51-150,Switzerland,Monday - Friday,No OT
27,logo-27.png,Personify Incorporation,"Tan Binh, Ho Chi Minh",Product,18264,United States,Monday - Friday,No OT
28,logo-28.png,TMA Solutions,"Ho Chi Minh, Others",Outsourcing,1000+,Vietnam,Monday - Friday,OT included in base salary
29,logo-29.png,SUGAR VENTURES,"District 1, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
30,logo-30.png,VOYAGER JSC,"District 12, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
31,logo-31.png,ELSA,"Phu Nhuan, Ho Chi Minh",Product,51-150,United States,Monday - Friday,No OT
32,logo-32.png,Cafe24,"District 1, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
33,logo-33.png,Titan DMS,"District 11, Ho Chi Minh",Product,51-150,Australia,Monday - Friday,No OT
34,logo-34.png,Capgemini Vietnam,"Phu Nhuan, Ho Chi Minh",Outsourcing,301-500,France,Monday - Friday,No OT
35,logo-35.png,Chotot,"District 1, Ho Chi Minh",Product,151-300,Singapore,Monday - Friday,No OT
36,logo-36.png,Galaxy Play,"Thu Duc City, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
37,logo-37.png,"Ohmyhotel&Co VN Co.,Ltd","District 2, Ho Chi Minh",Product,51-150,Japan,Monday - Friday,none
38,logo-38.png,Magnolia,"Tan Binh, Ho Chi Minh",Product,51-150,Switzerland,Monday - Friday,No OT
39,logo-39.png,NashTech,"Ho Chi Minh, Ha Noi, Da Nang",Outsourcing,1000+,United Kingdom,Monday - Friday,No OT
40,logo-40.png,Oivan,"Ho Chi Minh, Da Nang, Ha Noi",Outsourcing,51-150,Finland,Monday - Friday,No OT
41,logo-41.png,"Viator, a Tripadvisor company, in partnership with Positive Thinking Company","Tan Binh, Ho Chi Minh",Product,18264,Australia,Monday - Friday,No OT
42,logo-42.png,NVG Technology,"District 10, Ho Chi Minh",Product,51-150,Switzerland,Monday - Friday,No OT
43,logo-43.png,Hasaki,"District 10, Ho Chi Minh",Product,501-1000,Vietnam,Monday - Friday,No OT
44,logo-44.png,Datalogic Viá»‡t Nam,"Thu Duc, Ho Chi Minh",Product,501-1000,Italy,Monday - Friday,none
45,logo-45.png,Employment Hero,"District 10, Ho Chi Minh",Product,301-500,Australia,Monday - Friday,No OT
46,logo-46.png,Trusting Social,"Ho Chi Minh, Ha Noi",Product,151-300,Singapore,Monday - Friday,none
47,logo-47.png,Cybozu Vietnam,"Phu Nhuan, Ho Chi Minh",Product,51-150,Japan,Monday - Friday,No OT
48,logo-48.png,Sendo.vn,"Ho Chi Minh, Ha Noi",Product,501-1000,Vietnam,Monday - Friday,Extra salary for OT
49,logo-49.png,Brycen Vietnam,"Others, Da Nang, Ho Chi Minh, Ha Noi",Outsourcing,301-500,Japan,Monday - Friday,Extra salary for OT
50,logo-50.png,Motorist Pte Ltd,"Others, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
