stt,logo_name,company_name,title,salary,distance_time,feature_new_text,skill,location_detail,reason_job,job_description,skill_experience,love_working,slogan
1,logo-1.png,Nimble,Mobile Engineer (Android/Flutter),"2,000 - 3,200 USD",21m,Hot,Android-Flutter,"WeWork, Lim Tower 3, 03-101, 29A Nguyễn Đình Chiểu, Đa Kao Ward, District 1, Ho Chi Minh","High-spec Macbook Pro and kits
WFH and Education Allowances
World-class projects","What You Will Do
You will be part of the development team in a project squad with Product Owner, UIUX and other developers.
Write clean, composable, and maintainable code as you develop world-class products for our clients.
Write automated tests to build and maintain the product we build for our clients.
Do code reviews with your squad members.
Learn new technologies, languages, and techniques so that you are able to adapt to the evolving needs of our clients.
Mentor junior members via pair-programming and sharing your knowledge through team rituals (sprint planning and bi-weekly retrospectives).
Collaborate with other team members to define the internal processes and initiatives to help the company accomplish its mission. has been written by the whole team.","2+ years of professional Android development experience. Experience in Java or Kotlin is a must. Experience in Flutter is a big plus.
Experience in writing automated tests for mobile applications.
Enjoy working on challenging solutions and systems.
Believe that building great applications is not only about delivering code that “works”, but involves thinking about reusability, maintainability, security, and performance.
A ""Can do attitude"" and a product mindset.
Confidence in communicating in English.
Due to COVID-19 and international travel restriction, we are able to process candidates who are currently residing in Vietnam only. If you are living outside of Vietnam, we will get in touch with you once the travel ban is lifted.","You will be proud of any product that has our name on it.
We are an engineering-focused company. Both co-founders are software engineers and led the tech teams at the most prominent e-commerce powerhouses in South East Asia.
We really pay attention and care about processes, high quality, and aesthetics.
Strong processes. We not only believe but also really work following agile principles. Developers work on well-sized and well-defined user stories, do estimate using points and work iteratively in short sprints (1-2 weeks).
Regular one-on-one reviews to constantly improve and grow. We have a clearly defined process for our developers to level up continuously not only their technical skills but also soft skills.
The vast amount of learning resources (Pluralsight, Pragpub, Leanpub, (e-)books, etc.) and yearly education allowance to step up your game.
Provident Fund which allows you to save money every month and we match your monthly contributions ().
Private medical insurance (Liberty) from day one, company care fund and social welfare coverage.
Great equipment consisting of a MacBook Pro, large screens, and any accessory to let you work comfortably. Our equipment is renewed every 3 years.
Casual work attire for everyone.
Comfortable and modern office space environment in the heart of Ho Chi Minh City and Da Nang.
Company-wide Work-From-Home policy
Work From Home allowance to set up your home office the right way!
Our office kitchen is fully stocked with drinks and snacks for the team.
Visa and work permit for foreigners. If you live abroad, we provide a relocation assistance package consisting of a plane ticket allowance and up to 3 weeks of initial accommodation.
26 days of paid leaves/year (11 public holidays + 15 personal days).
Sabbatical month every 3 years.
Company outing every year.
And many more perks!",We build outstanding software with expertise and passion
2,logo-2.png,Easy IT Solutions,"Fullstack Dev (DevOps, AWS, .NET) $2000+",From $2000++,21m,Hot,DevOps-.NET-AWS,"147 - 149 Vo Van Tan, District 3, Ho Chi Minh","Competitive salary + 13 months &amp; performance bonus
Fast growing company. Additional Health Insurance
Updated technologies/cloud computing/microservices","1. Role description:

EZIT is looking for a Full Stack Software Engineer with a passion to drive and design & build state of the art software.

2. Role accountabilities:

Possess excellent design and coding skills and a zeal for owning the complete SDLC of building applications in a DevOps environment
You are excited about working with cloud-native stack, building on Azure and AWS cloud
Collaborating with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies
Leading the craftsmanship, security, availability, resilience, and scalability of your solutions
Bringing a passion to stay on top of current trends, experiment with and learn new technologies, and mentor other members of the team
Experience developing desktop and mobile applications. Familiarity with common stacks. Relevant experience in web development .NET Core, Entity Framework and Azure Web Apps Relevant experience in web development Nodejs, MEAN Stack and AngularJS/ React.
Knowledge of multiple front-end languages, back-end languages and libraries and abilities handle every aspect of frontend, backend development and services plus 3rd party API integration
Build resilient and reusable Microservices & API using latest technologies and patterns
Experience in automated CI/CD, Containers and Cloud technologies Utilize the latest advancement in Microsoft Web technology and new design patterns to enhance usability and functionality of the IT solution","Basic Qualifications:

Degree in computer science and/or its equivalent
Experience in above technologies and architectures
Experience of Test Driven Development
Experience Developing RESTful APIs

Preferred Qualifications:

Experience with ERP & financial applications
Architecture, design experience with good knowledge of design patterns & their implementation.
Familiarity with Data analytics & data warehouses ","EZIT Solutions is a place where work is stimulating and challenging, where talents are developed, shared and multiplied in an entrepreneurial and team-oriented environment.

We are committed to maintaining a high level of satisfaction among our employees by:

Friendly working environment
Practice English with American customers
Encourage people to be lead & push new ideas forward in our small teams
13th salary is paid before Lunar New Year
Free English training & sport activities (football, swimming, etc.)
Fun team building activities including: anual company trip, parties, free lunches, ...
Good health care & insurance programs for all employees
And much more...!",Make It Happen!
3,logo-3.png,Vietnam International Bank (VIB),.Net developer,You'll love it,30m,Hot,.NET-C#-Java,"Sailing Tower Building, District 1, Ho Chi Minh",none,"Thực hiện lập trình các ứng dụng công nghệ số theo yêu cầu của nghiệp vụ kinh doanh;
Tìm hiểu các giải pháp, công nghệ, ngôn ngữ lập trình mới để áp dụng trong công việc;
Tham gia xây dựng các kịch bản kiểm thử phần mềm tự động;
Tham gia xây dựng tài liệu kỹ thuật cho các ứng dụng thuộc phạm vi quản lý của Trung tâm Chiến lược và Giải pháp Ngân hàng số;
Thực hiện các nhiệm vụ khác theo phân công của cấp Quản lý","Trình độ cử nhân trở lên chuyên ngành Công nghệ thông tin;
Tối thiểu 7 năm (Chuyên gia)/ 5 năm (Chuyên viên cao cấp)/3 năm (Chuyên viên chính)/2 năm (Chuyên viên) kinh nghiệm làm việc với các ngôn ngữ lập trình cho Ngân hàng di động Objective C, Swift, Java, Kotline, Java Script hoặc React Native, C++, React; Cho Web: C#, Java, HTML/CSS, Javascript, XML, XPath, PL/SQL... Kinh nghiệm tích hợp ứng dụng qua Ajax, JSON/REST, Web service APIs, tích hợp với các mạng xã hội;
Kinh nghiệm làm việc với cơ sở dữ liệu: Oracle, SQL Server, MySQL và và Webserver/Application server: IIS, IBM WebSphere portal, WebLogic, Tomcat;
Kinh nghiệm phát triển ứng dụng chạy đa nền tảng, lượng người dùng lớn, có kinh nghiệm tối ưu tốc độ và tăng cường tính bảo mật cho ứng dụng;
Kinh nghiệm xây dựng kịch bản kiểm thử tự động;
Am hiểu ngôn ngữ lập trình/nền tảng trong server site như J2EE, .Net;
Kỹ năng Tiếng Anh căn bản","Thu nhập cạnh tranh so với các đơn vị cùng ngành. VIB áp dụng Cơ chế tiền lương minh bạch, công bằng và tương xứng với mức độ đóng góp của từng cá nhân nên bạn hoàn toàn có quyền tự quyết định mức thu nhập của bản thân. Bên cạnh đó, chính sách Thưởng cuối năm theo hiệu quả làm việc và Thưởng bằng cổ phiếu cũng là một trong những cấu phần thu nhập hấp dẫn và liên tục được cải thiện.

Môi trường chuyên nghiệp

Tại VIB, bạn sẽ được làm việc trong các văn phòng khang trang với trang thiết bị, công nghệ hiện đại. Môi trường làm việc dân chủ, cùng đội ngũ lãnh đạo và đồng nghiệp tài năng, kinh nghiệm và thân thiện, nhiệt tình sẽ giúp bạn có cơ hội học hỏi, phát huy cao nhất năng lực và thế mạnh của bản thân, tạo điều kiện cho cơ hội thăng tiến và phát triển nghề nghiệp của bạn.",One of the leading commercial joint stock banks in Vietnam
4,logo-4.png,Robert Bosch Engineering And Business Solutions,Project Manager / Delivery Manager_Bonus,You'll love it,30m,Hot,Embedded-Project Manager,"364 Cong Hoa street, ward 13, Tan Binh, Ho Chi Minh","1-month joining bonus 
13th-month salary+yearly bonus
16++ days of annual leave","Due to our business growth, we are urgently looking for Project Manager / Delivery Manager for  Embedded Active Safety System, Automotive Projects. Moreover, this job could offer you the opportunities to utilize your language skills (Japanese/ Chinese) to work with Japanese counterparts at JOEM or Chinese counterparts at COEM:

General Tasks:

Analyze customer requirements, clarify and document
Issue development request to developers and track the progress
Plan, Monitor and Control project schedule
Interface with customers, manage OPLs and stakeholders
Develop team and give feedback to associates as per need
As Project Manager you will be responsible for analyzing requirements from customer and manage development of same with support from development team. You will be the interface to customers and responsible for managing the project schedule and deliverables within defined QCD:

Engineering services for embedded SW projects (C, automotive)
Working with engineering team making overall project proposal (work packages, time schedule, ...)
Supporting sales with quotation, pricing and contract with customer supplier
Leading project team, execute project till final delivery to customer
Use PM tools for project management
Close cooperate with Bosch BUs, BEG-CN (engineering team)
As Delivery Manager you will be responsible for managing a development team:

People management with Feedback and project level engagement (responsible for KPIs, deploying resources, people management, Conduct GPD for associates)
Responsible for building up the competency for the team.
Input for Billing, cost utilization
Focus productivity improvement
Provide resources for Competency Enhancement projects and build in Project-specific
Execute Competency Development
Manage the technical aspects of the project tasks and performs reviews
Manage hardware, software, facilities usage, ISP","Mandatory Skills:

Embedded SW development using C
Knowledge of microcontroller and microprocessors
SW Development lifecycle
Project Management
Excellent English verbal and written communication skills
Desirable Skills:

Exposure to tools like Vector CANoe, MOST, DOORS and Clear case
RTOS exposure
Automotive domain with knowledge on CAN
PMP certificate or equivalent
Experience of handling a team 8 to 12 people","Why BOSCH?

Because we don't just follow trends, we create them.

Because together we turn ideas into reality, working every day to make the world of tomorrow a better place. Do you have high standards when it comes to your job? So do we. At Bosch, you will discover more than just work.

Benefits and Career Opportunities

Working in one of the Best Places to Work in Vietnam
Join a dynamic and fast growing global company (English-speaking environment)
13th-month salary bonus + attractive performance bonus (you'll love it!) + annual performance appraisal
100% monthly basic salary and mandatory social insurances in 2-month probation
Onsite opportunities: short-term and long-term assignments
16++ days of annual leave + 1 day of birthday leave
Premium health insurance for employee and 02 family members
Flexible working time
Lunch and parking allowance
Various training on hot-trend technologies/ foreign language (English/Chinese/Japanese) and soft-skills
Fitness & sport activities: football, badminton, yoga, Aerobic
Free in-house entertainment facilities and snack
Join in various team building, company trip, year-end party, tech talks and a lot of charity events",The Bosch Group is a leading global supplier of technology and services
5,logo-5.png,Shopee,Backend Engineers (Python/ Java/ Golang),2000 usd++,30m,Hot,Python-Java-Golang-Fresher Accepted,"Saigon Centre 2, 92 Nam Ky Khoi Nghia Street, Ben Nghe Ward, District 1, Ho Chi Minh","Work in Ho Chi Minh City
14 days annual leave
Yearly performance bonus","About VN Dev Center - Marketplace Order Team

The Marketplace Order team powers the overall lifecycle of the checkout and order process in Shopee through innovation and technology. In our pursuit to shape the way buyers and sellers connect with each other, we engineer scalable, reliable and extensible systems that evolve with the dynamic e-commerce landscape. As a Software Engineer in the team, you will collaborate with fellow Engineers and Product Managers to develop the checkout, processing, fulfilment and settlement systems, and tackle unique problems on a global scale.

REPORT TO: Managers in Singapore 
WORK WITH: Vietnamese Engineers & Singapore Engineers
We are looking for 10 Backend Engineers

Job Description:

Designing and implementing systems and features to support the checkout and order lifecycle across high volume transactions periods
Building, designing and implementing distributed systems that are optimized for performance, scalability and availability
Writing high-quality, clean and maintainable code using engineering best practices (unit testing, source control, continuous integration, automation, design patterns, etc.)
Researching, proposing and executing projects to enhance system functionalities, development processes, and shared middlewares
Collaborating in a highly cross-functional environment with fellow Software Engineers, Product Managers, Quality Assurance Engineers, and Operation Engineers to deliver impact","Open for Fresh Engineers
Bachelor's or a higher degree in Computer Science or related fields
Relevant experience in Backend Development
Familiar with commonly used languages, such as Golang/Python/C++/Java
In-depth understanding of Data Structures and Algorithms, Networking, OS and other Computer Science fundamentals
Familiar with commonly used Databases, such as MySQL
Familiar with commonly used Middlewares, such as Redis and Kafka
Familiar with Kubernetes (K8S) Microservice Architecture
Familiar with HTTP/TCP protocols
Familiar with XML/JSON/Protocol Buffers
Familiar with distributed systems, performance tuning, massive concurrency handling, and caching mechanisms","Macbook is provided
14 days annual leave
Life insurance
Annual Health Screening
Free food, drinks & dinner
Quarterly Team Building Activity
Company Trip
Happy Hour",Shopee is the leading e-commerce platform in Southeast Asia and Taiwan.
6,logo-6.png,Codix,Oracle Database Admin-Training in Europe,"500 - 2,000 USD",30m,Hot,Oracle-Database,"364 Cong Hoa, Tan Binh, Ho Chi Minh","Training opportunity in Europe
Very attractive salary &amp; bonus
100% salary in probation","Take a part in full-specter Oracle database administration of internal company development/QA client-side environments
- Assist in company product data model maintenance (database schema object maintenance)
- Oracle Database installation, upgrades and patching
- Investigate and solve database incidents
- Strictly conform the company polices and standards to deliver a high level of service
- Work with flexible work time ","Knowledge of Relational Databases / Oracle RDBMS (11g/12c), practical experience with Oracle RDBMS is a plus
- Ability to work in Unix shell
- English fluency
- Strong interest and willing to learn and develop in the area of Oracle Database administration
- Good problem resolution and analytical skills
- Ability to work under pressure

*** Level: Junior - Senior


If you are invited for an interview, you will be submitted to:
- A technical test.
- English interview.


**Only applications and CV in English will be considered. ","Successful candidate will come in one of the European subsidiaries for 3 months internal training to our methods and product.
Opportunity to work with international company, high reputation clients on the financial, commercial financial fields: Silicon Valley Bank, BNP PARISBAS, SOCIETE GENERALE, GE Capital, UPS Capital KBC, BARCLAYS, BBVA, France telecom Orange, etc.
Salary range: Attractive, or negotiable depending your expertise and experience.
Social and Health insurance: According to the current Government regulation.
Competitive remuneration package including performance driven benefits:soft skill training, 13th month salary, project bonus, loyalty program (3% of your total annual income), key person package (yearly bonus, monthly telephone fee, Health insurance for your dependents), additional health care program - Generali, annual health examination, lunch allowance (840,000 VND/month), activities: company trip, football, volleyball... 
14 leaves day for all employees, 16 annual leave for key person.
Trainings and continuous investment into your professional development.
Friendly work environment with International working standards.",You would like to join a highly motivated team in a first class environment?
7,logo-7.png,Yojee,React Native Developer,You'll love it,30m,Hot,React Native-JavaScript-Android,"384 Hoàng Diệu, District 4, Ho Chi Minh","Solve challenging and exciting problems daily
An Australian public &amp; global company 
Competitive remuneration","Yojee is looking for a React Native Developer to join our Engineering team, to develop and maintain our mobile applications and support for the entire application lifecycle. This candidate should also appreciate the notions of their running efforts which will empower and enhance the logistic services for potentially millions of users across a wide variety of industries.

Duties and Responsibilities

Design and build advanced logistics applications for mobile apps/platforms.
Collaborate with cross-platform and product development teams to define interfaces and ensure feature interoperability.
Identify performance improvements and efficiency optimizations for implementation, build, and deployments of the technology.
Architect, build, and maintain our React Native applications with clean code.
Implement UI from specifications provided by the UX/UI team.
Undertake any other ad-hoc work as assigned.
May be required to perform other related duties as required.","Minimum Bachelor Degree in Computer Science or Computer Engineering or its equivalent.
2-3 years of relevant experience in mobile development.
Being able to write well-documented, clean JavaScript/Typescript code.
Familiar with modern FE development toolchain: NPM, Babel, ESLint, Flow, Jest, etc
An understanding of React Native best practices and a commitment to following them.
Familiarity with code versioning tools such as Git.
Good understanding of the full mobile development life cycle.
Able to work independently, self-directed and solutions-oriented.
Excellent working attitude, problem-solving, and willingness to tackle any challenges.
Effective written/oral communication skills and ability to communicate ideas effectively to a corporate audience and excellent interpersonal skills.
Proficient in English.
Nice to have

Knowledge of Ruby on Rails, Elixir, and being a polyglot is a bonus.
Ability to learn new technologies and APIs.","Yojee Limited (ASX: YOJ) is a cloud based (SaaS) logistics platform that seamlessly and uniquely manages, tracks and optimises freight movements along the entire logistics chain, from sender to end customer, across borders and between logistics providers (land, sea, air), with subcontractors and for multi-leg journeys. Rarely is a single carrier servicing an entire goods journey from sender to end customer, or exclusively using one type of transportation method. Yojee ensures connectivity and more efficient planning along the entire journey.

We are not a startup although the company structure is organized in such a way. Yojee is a public listed company on Australian stock exchange (ASX: YOJ). We are growing our team in Vietnam which is developing our core product. Don't miss this opportunity to join us early.

Performance bonus: equivalent to 1-3months salary
Professional development/ training courses
Provided Macbook pro
Occasional onsite trip to Singapore, Indonesia
International environment : Australia, New Zealand, US, Singapore, India, Indonesia, Malaysia, etc,..
Monthly Team-building
Free coffee, milk and tea
Free parking
No 13th month salary
Unlimited paid day off
100% official salary in probation time
Full social insurance paid based on salary",Come join one of Australia - Singapore's most exciting and fastest growing technology companies!
8,logo-8.png,Wonderlabs,Golang Developer,"2,000 - 2,800 USD",30m,Hot,Golang-Drupal-AWS,"39 Le Thach Street, District 4, Ho Chi Minh","Working with leading companies from Singapore 
Attractive salaries
Fun &amp; dynamic working environment","Our company is seeking to hire a skilled Engineer for the role of Backend Engineer - to help with the development, maintenance and troubleshooting of large-scale backend systems deployed on AWS ECS, Serverless and Kubernetes. You will be involved in the brainstorming of innovative ideas, conceptualization, system design, development, testing, and support of backend applications, API's and other projects to support new business needs.","Must have strong English communication skills
You have the option to work remotely
Hands on Engineer with Degree / Masters in Software Engineering
AWS Certified Solution Architect / Developer (Associate)
5 to 7 years in Software Development & Devops Experience
Highly familiar with AWS ECS/Fargate, Kubernetes, AWS API Gateway, Cloudfront/CDN, Load balancer, Serverless Technologies.
Highly familiar with Elasticsearch cluster & indices management & migration
Highly familiar with Cloudformation / Terraform / Infrastructure as Code approach
Highly familiar with AWS Elastic Cache, RDS, DynamoDb
Good knowledge on GoLang, PHP Laravel, Drupal
Familiarity with Agile development, git workflow, unit testing
Good knowledge of best practices in agile software development and trends
Strong interpersonal, communication and problem-solving skills
Team player who is self-driven and proactive in learning new technologies and skills
Attention to details
Ability to support out of office hours, when needed","What's in it for me?

Professional development – Our software engineers are led by industry experts. Even the most experienced engineers will have opportunity to further develop their skill-sets and perceptions.
Great environment – Awesome team spirit. Creativity and innovations are our driving force. We are expanding very fast and you will be part of that success.
Apart from attractive salary and benefits, you get to work with fun colleagues that constantly challenge your thinking and ideas.",Work with the leading technology company from Singapore!
9,logo-9.png,Wonderlabs,Senior DevOps,"2,000 - 2,800 USD",30m,Hot,DevOps-AWS,"39 Le Thach Street, District 4, Ho Chi Minh","Working with leading companies from Singapore 
Attractive salaries
Fun &amp; dynamic working environment","As a Senior / Lead DevOps Engineer, you will be responsible for the following:

Collaborate with development, infrastructure, security and product teams to deliver new product features and applications, and review existing implementations for improvements.
Drive DevOps team initiatives to establish best practices in areas such as CI/CD, automated tests, code coverage/analysis, security tests, logging, tracing and monitoring
Define standards and processes to align development teams to DevOps, providing documentation and trainings whenever necessary
Implement effective application monitoring, defining strategies to monitor on different layers such as CDN, service, web/application, cache, database and infrastructure, and provide timely alerts with proper escalation.
Design and implement CI/CD pipelines with integrations to various development, quality and security tools, and support different types of deployment architectures.
Design and manage cloud infrastructure and services, improving maintainability through IaC while also ensuring reliability, scalability and performance.
DevOps tools administration, applying automations whenever possible.
Being part of an on call rotation to be able to support development teams during production incidents and off-peak hours activities.
Stay on top of DevOps trends, experiment and learn for continuous improvement.","Must have strong English communication skills
Option to work remotely
Bachelors in Computer science or Information Technology
At least 5 years experience in DevOps and cloud technologies (AWS)
Solid understanding of DevOps principles and software development methodologies
Hands-on experience in SRE, monitoring, cloud platforms and containerization technologies
Hands-on experience implementing Applications and Infrastructure monitoring tools and dashboards (in a command center setup is a plus)
Hands-on experience in CI/CD pipelines with integrations for automated testing, code coverage/analysis, dependency management, artifact management, SAST, SCA, DAST, mobile (iOS/Android)
Experience in server administration and troubleshooting (Linux OS preferred)
Strong written and verbal communication skills
Experience in the following technologies are preferred:
Monitoring/Logging: Prometheus, Grafana, New Relic, AWS Cloudwatch, ELK
Infrastructure as Code: Terraform, CloudFormation
CI/CD: Jenkins, AWS CodeBuild/CodePipeline/CodeDeploy, Bitrise
CI/CD Integrations: SonarQube, Sonatype Nexus/IQ Server, Tosca, Fortify
Build automation: Composer, Maven, Gradle
Containerization: Docker, Kubernetes, Spinnaker, Rancher
Collaboration: Jira, Confluence","What's in it for me?

Professional development – Our software engineers are led by industry experts. Even the most experienced engineers will have opportunity to further develop their skill-sets and perceptions.
Great environment – Awesome team spirit. Creativity and innovations are our driving force. We are expanding very fast and you will be part of that success.
Apart from attractive salary and benefits, you get to work with fun colleagues that constantly challenge your thinking and ideas.",Work with the leading technology company from Singapore!
10,logo-10.png,QUOINE,Full Stack Engineer NodeJS,"1,500 - 3,000 USD",30m,Hot,NodeJS-Java,"Empress Tower, 138 - 142 Hai Ba Trung Street, Da Kao Ward, District 1, Ho Chi Minh","Join a global leading Fintech company
Bring cutting edge technologies into play
Enjoy exceptional benefits package","Design and implement highly scalable client-side and server-side systems
Deeply consider architecture at all levels of the project
Design intelligent, fit-for-purpose, extensible data structures
Prepare comprehensive test harnesses for development and unit tests
Contributing to product and feature discussions and providing technical input for UI/UX designs","Skills

Have an “always learning, always improving” attitude towards your work.
Take genuine pride in delivering good products to motivated users.
Must have experience in
NodeJS
ReactJS
Highly desirable:

   - Ruby

    -C++

    -Typescript

    - Sass/Less/Css

    - Postgres SQL

    - Python

    - Docker

    - Amazon Web Services

    - Blockchain (or blockchain tools)

     - Financial Capital markets

Have solid understanding of object-oriented programming
Take pride in writing clear, maintainable, teammate-friendly code, tests, and documentation
Are comfortable engaging with vendors and solution partners on a highly technical level
Find yourself at ease solving difficult problems with little direct guidance
Experience with popular web application frameworks, such as Play and Spark
Have a deep understanding of fundamental design principles behind a scalable application
May not be deeply familiar with marketing technology, but you're motivated to learn
Highly proficient in spoken and written English","Health Insurance

100% coverage for you and your wife/husband and kids.
Provider: PTI Saigon
Insurance benefits:
Personal accident
Term-life due to illness, diseases, pregnancy
Hospital, surgical and dental treatment
Annual Health Check-up

Money in your pocket - Working hard pays off

Meaningful performance-based incentives are distributed to you yearly based on the company business outcome and your performance rating, which plays a significant role in how much of the bonus amount you'll receive.
Attractive project-based bonuses are granted to people who have a significant contribution to the success of the projects. This type of incentive is defined depending on the performance of the project and the individuals involved.
We want you to achieve your fullest potential while working at Quoine: So, we've developed a range of related training courses for you to pick from. You can also get discretionary funding to attend external training or speak at conferences, conventions relevant to our industry, and your expertise since we want you to be a leader in your professional community.

Have your cake and eat it too - work-life balance

Paid Time-Off
Do great things and recharge with:
15 days annual leave/year
5 single days sick leave covered by company/year (without a doctor’s note)
Work/Life:

We want you to love where you work, so we provide a creative workspace, inspiring people, and the latest tech to help you do your best work.
Daily snacks & drinks provided at Pantry to keep you fueled anytime.
We promote an open and flexible working environment where you are empowered to perform your best and are encouraged to give constructive feedback and innovative ideas to the development of the company and yourself.
To help you have fun and bond with your colleagues, besides team outing activities organized as per the company's annual plan, we have Xbox One, Pool, Table soccer, etc. available in the entertainment place during off-hour.",World’s Most Advanced Crypto Trading Platform
